"","product","client","status","amount","num_users"
"1","Product F","Current","Won",7389.52,19
"2","Product C","New","Won",4493.01,43
"3","Product B","New","Won",5738.09,87
"4","Product I","Current","Won",2591.24,83
"5","Product E","Current","Won",6622.97,17
"6","Product B","New","Won",5496.27,2
"7","Product C","Current","Won",3043.13,29
"8","Product N","Current","Won",7340.64,13
"9","Product F","Current","Won",6780.85,80
"10","Product B","Current","Won",5237.24,23
"11","Product B","Current","Won",2273.55,26
"12","Product C","New","Lost",2480.33,6
"13","Product D","New","Lost",4179.72,15
"14","Product F","New","Won",4918.79,43
"15","Product B","Current","Lost",7030.54,41
"16","Product B","Current","Won",4599.65,12
"17","Product D","Current","Won",5282.57,58
"18","Product N","Current","Won",8627.2,7
"19","Product A","Current","Won",9913.27,34
"20","Product I","Current","Won",3220.45,45
"21","Product F","Current","Lost",6849.12,19
"22","Product B","Current","Won",6236.52,2
"23","Product F","Current","Won",5226.04,82
"24","Product A","Current","Won",1625.19,23
"25","Product B","New","Lost",3124.62,31
"26","Product C","New","Won",3342.35,16
"27","Product B","Current","Lost",5701.7,53
"28","Product B","Current","Won",4656.29,26
"29","Product B","Current","Won",4563.53,73
"30","Product B","Current","Lost",5867.54,1
"31","Product C","New","Won",6151.14,66
"32","Product B","Current","Lost",7404.46,13
"33","Product I","Current","Won",3711.23,14
"34","Product E","New","Lost",3706.78,3
"35","Product A","New","Lost",5656.77,33
"36","Product B","Current","Won",8588.35,52
"37","Product N","Current","Won",2738.93,32
"38","Product F","Current","Won",3357.24,53
"39","Product B","Current","Won",2812.45,37
"40","Product I","Current","Won",6533.16,47
"41","Product B","Current","Won",7229.87,99
"42","Product A","Current","Lost",5597.34,89
"43","Product A","Current","Won",5827.35,50
"44","Product D","Current","Won",3328.79,40
"45","Product B","Current","Won",7085.83,17
"46","Product B","Current","Won",8614.12,17
"47","Product B","Current","Won",8222.62,2
"48","Product C","Current","Lost",1548.61,65
"49","Product C","Current","Lost",3727.66,19
"50","Product B","Current","Won",3488.36,79
"51","Product B","New","Lost",8325.78,74
"52","Product B","Current","Lost",1378.8,42
"53","Product I","New","Won",7153.77,48
"54","Product A","Current","Won",1649.91,12
"55","Product A","Current","Won",6010.04,24
"56","Product I","Current","Won",1606.86,24
"57","Product D","Current","Won",6820.84,42
"58","Product C","Current","Lost",5411.26,17
"59","Product B","Current","Won",6558.74,90
"60","Product E","Current","Lost",6407.69,6
"61","Product B","Current","Won",6251.99,2
"62","Product D","Current","Won",6733.62,27
"63","Product F","Current","Won",5137.67,3
"64","Product B","Current","Won",4171.76,94
"65","Product B","Current","Won",1640.06,59
"66","Product B","New","Lost",2746.79,50
"67","Product G","New","Lost",4279.6,51
"68","Product B","Current","Won",4571.26,19
"69","Product F","Current","Lost",4430.53,7
"70","Product J","New","Lost",3182.09,2
"71","Product I","Current","Won",2588.6,51
"72","Product A","Current","Won",5945.63,55
"73","Product B","Current","Lost",4606.44,78
"74","Product D","New","Lost",2723.39,42
"75","Product D","Current","Lost",4274.8,9
"76","Product D","Current","Won",9215.41,3
"77","Product B","Current","Won",3950.94,39
"78","Product B","Current","Won",6252.3,27
"79","Product C","Current","Won",1300.89,42
"80","Product B","Current","Won",4866.12,22
"81","Product B","Current","Won",5430.55,38
"82","Product B","Current","Won",2907.38,43
"83","Product B","New","Won",5665.33,68
"84","Product B","New","Lost",3219.33,3
"85","Product G","Current","Lost",9062.59,24
"86","Product B","New","Lost",4735.66,1
"87","Product B","New","Lost",3690.75,10
"88","Product C","Current","Won",3579.63,3
"89","Product B","Current","Won",5276.01,82
"90","Product B","Current","Won",3231.52,65
"91","Product D","New","Lost",5744.26,17
"92","Product A","Current","Won",5121.83,2
"93","Product A","Current","Won",4509.96,92
"94","Product B","Current","Won",4216.81,35
"95","Product D","Current","Lost",4736.38,73
"96","Product J","New","Lost",4269.87,18
"97","Product A","New","Lost",1998.75,39
"98","Product E","Current","Lost",4823.99,35
"99","Product F","Current","Won",1420.71,33
"100","Product A","Current","Won",5758.67,23
"101","Product H","Current","Won",6201.23,48
"102","Product H","Current","Won",5116.34,63
"103","Product D","New","Lost",1196.53,63
"104","Product E","Current","Won",2910.08,14
"105","Product D","Current","Won",4110.98,39
"106","Product H","Current","Won",416.55,47
"107","Product H","Current","Won",4547.97,13
"108","Product H","Current","Won",9520.58,99
"109","Product H","Current","Won",3608.69,56
"110","Product H","Current","Won",5257.16,22
"111","Product B","Current","Won",696.88,44
"112","Product H","New","Lost",787.57,24
"113","Product D","Current","Won",3727.65,12
"114","Product B","Current","Won",3880.07,4
"115","Product A","Current","Won",3371.7,18
"116","Product F","Current","Lost",1664.4,58
"117","Product B","New","Lost",5287.36,81
"118","Product D","Current","Lost",3416.82,12
"119","Product D","Current","Lost",5592.66,85
"120","Product B","Current","Won",1597.44,37
"121","Product D","Current","Lost",8180.81,96
"122","Product B","Current","Won",4831.73,12
"123","Product B","Current","Won",7219.99,16
"124","Product B","Current","Lost",3021.3,1
"125","Product C","Current","Won",482.01,65
"126","Product C","Current","Won",4796.13,44
"127","Product D","New","Lost",4861.06,16
"128","Product B","Current","Won",2070.25,7
"129","Product D","Current","Lost",4843.5,80
"130","Product B","Current","Won",6509.25,53
"131","Product A","Current","Won",3425.45,82
"132","Product B","Current","Won",6872.29,25
"133","Product B","New","Lost",4429.76,90
"134","Product D","Current","Won",5992.86,98
"135","Product D","Current","Won",3976.47,29
"136","Product D","Current","Won",4814.25,67
"137","Product B","Current","Won",2924.29,32
"138","Product A","Current","Won",5145.01,89
"139","Product C","Current","Won",-539.23,11
"140","Product B","Current","Won",4566.61,9
"141","Product B","Current","Lost",5856.18,45
"142","Product B","Current","Won",4795.64,8
"143","Product A","Current","Won",3847.71,17
"144","Product A","Current","Won",5736.79,72
"145","Product B","New","Won",3682.25,89
"146","Product A","Current","Won",4682.94,63
"147","Product D","Current","Lost",5560.03,68
"148","Product D","Current","Lost",7969.67,23
"149","Product D","Current","Won",3485.48,52
"150","Product D","Current","Won",3415.63,36
"151","Product D","Current","Lost",7550.6,17
"152","Product D","Current","Won",6221.36,2
"153","Product A","Current","Lost",9027.17,71
"154","Product D","Current","Lost",5436.98,54
"155","Product B","Current","Lost",6979.77,8
"156","Product D","Current","Won",4509.53,5
"157","Product B","Current","Won",6204.95,58
"158","Product D","Current","Won",5817.77,5
"159","Product A","Current","Won",4665.88,20
"160","Product B","Current","Won",1676.09,29
"161","Product D","Current","Lost",6690.06,60
"162","Product D","Current","Won",4837.09,31
"163","Product D","Current","Won",6755.66,59
"164","Product C","Current","Won",7202.17,31
"165","Product F","New","Won",7576.35,29
"166","Product B","Current","Lost",4371.48,6
"167","Product C","New","Lost",3779.86,11
"168","Product B","Current","Won",4965.08,9
"169","Product A","Current","Won",8448.77,8
"170","Product D","Current","Lost",2101.18,5
"171","Product D","Current","Lost",8031.36,59
"172","Product D","Current","Won",1340.15,66
"173","Product D","Current","Lost",3086.88,55
"174","Product A","Current","Lost",5835.32,23
"175","Product D","Current","Won",6377.5,12
"176","Product D","Current","Won",3537.61,28
"177","Product A","Current","Won",6448.07,34
"178","Product D","New","Lost",7320.05,72
