Id,LotArea,OverallQual,YearBuilt,RoofStyle,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
1,8450,7,2003,Gable,856,Y,856,854,2,1,3,1,8,2,548,208500
2,9600,6,1976,Gable,1262,Y,1262,0,2,0,3,1,6,2,460,181500
3,11250,7,2001,Gable,920,Y,920,866,2,1,3,1,6,2,608,223500
4,9550,7,1915,Gable,756,Y,961,756,1,0,3,1,7,3,642,140000
5,14260,8,2000,Gable,1145,Y,1145,1053,2,1,4,1,9,3,836,250000
6,14115,5,1993,Gable,796,Y,796,566,1,1,1,1,5,2,480,143000
7,10084,8,2004,Gable,1686,Y,1694,0,2,0,3,1,7,2,636,307000
8,10382,7,1973,Gable,1107,Y,1107,983,2,1,3,1,7,2,484,200000
9,6120,7,1931,Gable,952,Y,1022,752,2,0,2,2,8,2,468,129900
10,7420,5,1939,Gable,991,Y,1077,0,1,0,2,2,5,1,205,118000
11,11200,5,1965,Hip,1040,Y,1040,0,1,0,3,1,5,1,384,129500
12,11924,9,2005,Hip,1175,Y,1182,1142,3,0,4,1,11,3,736,345000
13,12968,5,1962,Hip,912,Y,912,0,1,0,2,1,4,1,352,144000
14,10652,7,2006,Gable,1494,Y,1494,0,2,0,3,1,7,3,840,279500
15,10920,6,1960,Hip,1253,Y,1253,0,1,1,2,1,5,1,352,157000
16,6120,7,1929,Gable,832,Y,854,0,1,0,2,1,5,2,576,132000
17,11241,6,1970,Gable,1004,Y,1004,0,1,0,2,1,5,2,480,149000
18,10791,4,1967,Gable,0,Y,1296,0,2,0,2,2,6,2,516,90000
19,13695,5,2004,Gable,1114,Y,1114,0,1,1,3,1,6,2,576,159000
20,7560,5,1958,Hip,1029,Y,1339,0,1,0,3,1,6,1,294,139000
21,14215,8,2005,Gable,1158,Y,1158,1218,3,1,4,1,9,3,853,325300
22,7449,7,1930,Gable,637,Y,1108,0,1,0,3,1,6,1,280,139400
23,9742,8,2002,Hip,1777,Y,1795,0,2,0,3,1,7,2,534,230000
24,4224,5,1976,Gable,1040,Y,1060,0,1,0,3,1,6,2,572,129900
25,8246,5,1968,Gable,1060,Y,1060,0,1,0,3,1,6,1,270,154000
26,14230,8,2007,Gable,1566,Y,1600,0,2,0,3,1,7,3,890,256300
27,7200,5,1951,Gable,900,Y,900,0,1,0,3,1,5,2,576,134800
28,11478,8,2007,Gable,1704,Y,1704,0,2,0,3,1,7,3,772,306000
29,16321,5,1957,Gable,1484,Y,1600,0,1,0,2,1,6,1,319,207500
30,6324,4,1927,Gable,520,N,520,0,1,0,1,1,4,1,240,68500
31,8500,4,1920,Gambrel,649,N,649,668,1,0,3,1,6,1,250,40000
32,8544,5,1966,Gable,1228,Y,1228,0,1,1,3,1,6,1,271,149350
33,11049,8,2007,Gable,1234,Y,1234,0,2,0,3,1,7,2,484,179900
34,10552,5,1959,Hip,1398,Y,1700,0,1,1,4,1,6,2,447,165500
35,7313,9,2005,Hip,1561,Y,1561,0,2,0,2,1,6,2,556,277500
36,13418,8,2004,Gable,1117,Y,1132,1320,3,1,4,1,9,3,691,309000
37,10859,5,1994,Gable,1097,Y,1097,0,1,1,3,1,6,2,672,145000
38,8532,5,1954,Hip,1297,Y,1297,0,1,0,3,1,5,2,498,153000
39,7922,5,1953,Gable,1057,Y,1057,0,1,0,3,1,5,1,246,109000
40,6040,4,1955,Gable,0,N,1152,0,2,0,2,2,6,0,0,82000
41,8658,6,1965,Gable,1088,Y,1324,0,2,0,3,1,6,2,440,160000
42,16905,5,1959,Gable,1350,Y,1328,0,1,1,2,1,5,1,308,170000
43,9180,5,1983,Gable,840,Y,884,0,1,0,2,1,5,2,504,144000
44,9200,5,1975,Hip,938,Y,938,0,1,0,3,1,5,1,308,130250
45,7945,5,1959,Gable,1150,Y,1150,0,1,0,3,1,6,1,300,141000
46,7658,9,2005,Hip,1752,Y,1752,0,2,0,2,1,6,2,576,319900
47,12822,7,2003,Gable,1434,Y,1518,631,1,1,1,1,6,2,670,239686
48,11096,8,2006,Gable,1656,Y,1656,0,2,0,3,1,7,3,826,249700
49,4456,4,1920,Gable,736,Y,736,716,2,0,2,3,8,0,0,113000
50,7742,5,1966,Gable,955,Y,955,0,1,0,3,1,6,1,386,127000
51,13869,6,1997,Gable,794,Y,794,676,2,0,3,1,6,2,388,177000
52,6240,6,1934,Gable,816,Y,816,0,1,0,3,1,6,2,528,114500
53,8472,5,1963,Gable,816,N,816,0,1,0,2,1,5,2,516,110000
54,50271,9,1981,Gable,1842,Y,1842,0,0,1,0,1,5,3,894,385000
55,7134,5,1955,Gable,384,Y,1360,0,1,0,3,1,6,2,572,130000
56,10175,6,1964,Gable,1425,Y,1425,0,2,0,3,1,7,2,576,180500
57,2645,8,1999,Gable,970,Y,983,756,2,1,3,1,7,2,480,172500
58,11645,7,2004,Gable,860,Y,860,860,2,1,3,1,7,2,565,196500
59,13682,10,2006,Hip,1410,Y,1426,1519,3,1,3,1,10,3,641,438780
60,7200,5,1972,Gable,780,Y,780,0,1,0,2,1,4,1,352,124900
61,13072,6,2004,Gable,1158,Y,1158,0,1,1,3,1,5,2,576,158000
62,7200,5,1920,Gable,530,N,581,530,1,0,3,1,6,1,288,101000
63,6442,8,2006,Gable,1370,Y,1370,0,2,0,2,1,6,2,484,202500
64,10300,7,1921,Gable,576,Y,902,808,2,0,3,1,9,2,480,140000
65,9375,7,1997,Gable,1057,Y,1057,977,2,1,3,1,8,2,645,219500
66,9591,8,2004,Gable,1143,Y,1143,1330,2,1,4,1,9,3,852,317000
67,19900,7,1970,Gable,1947,Y,2207,0,2,0,3,1,7,2,576,180000
68,10665,7,2003,Gable,1453,Y,1479,0,2,0,3,1,7,2,558,226000
69,4608,4,1945,Gable,747,Y,747,0,1,0,2,1,4,1,220,80000
70,15593,7,1953,Gable,1304,Y,1304,983,2,0,3,1,7,2,667,225000
71,13651,7,1973,Gable,2223,Y,2223,0,2,0,3,1,8,2,516,244000
72,7599,4,1982,Gable,845,Y,845,0,1,0,2,1,4,2,360,129500
73,10141,7,1998,Gable,832,Y,885,833,2,1,3,1,7,2,427,185000
74,10200,5,1954,Gable,1086,Y,1086,0,1,0,3,1,6,2,490,144900
75,5790,3,1915,Gambrel,840,N,840,765,2,0,3,2,8,1,379,107400
76,1596,4,1973,Gable,462,Y,526,462,1,0,2,1,5,1,297,91000
77,8475,4,1956,Gable,952,Y,952,0,1,0,2,1,4,1,283,135750
78,8635,5,1948,Gable,672,Y,1072,213,1,0,2,1,6,1,240,127000
79,10778,4,1968,Hip,1768,N,1768,0,2,0,4,2,8,0,0,136500
80,10440,5,1910,Gable,440,Y,682,548,1,1,2,1,5,2,440,110000
81,13000,6,1968,Gable,896,Y,1182,960,2,1,4,1,8,1,509,193500
82,4500,6,1998,Hip,1237,Y,1337,0,2,0,2,1,5,2,405,153500
83,10206,8,2007,Gable,1563,Y,1563,0,2,0,3,1,6,3,758,245000
84,8892,5,1960,Gable,1065,Y,1065,0,1,1,3,1,6,2,461,126500
85,8530,7,1995,Gable,384,Y,804,670,2,1,3,1,7,2,400,168500
86,16059,8,1991,Hip,1288,Y,1301,1116,2,1,4,1,9,2,462,260000
87,11911,6,2005,Gable,684,Y,684,876,2,1,3,1,6,2,400,174000
88,3951,6,2009,Gable,612,Y,612,612,2,1,2,1,4,2,528,164500
89,8470,3,1915,Hip,1013,N,1013,0,1,0,2,1,6,0,0,85000
90,8070,4,1994,Gable,990,Y,990,0,1,0,3,1,5,0,0,123600
91,7200,4,1950,Gable,0,Y,1040,0,1,0,2,1,4,2,420,109900
92,8500,5,1961,Hip,1235,Y,1235,0,1,0,2,1,6,2,480,98600
93,13360,5,1921,Gable,876,Y,964,0,1,0,2,1,5,2,432,163500
94,7200,6,1910,Hip,1214,N,1260,1031,2,0,4,2,9,2,506,133900
95,9337,6,1997,Gable,824,Y,905,881,2,1,3,1,7,2,684,204750
96,9765,6,1993,Gable,680,Y,680,790,2,1,3,1,6,2,420,185000
97,10264,7,1999,Gable,1588,Y,1588,0,2,0,3,1,6,2,472,214000
98,10921,4,1965,Hip,960,Y,960,0,1,0,3,1,6,1,432,94750
99,10625,5,1920,Gable,458,N,835,0,1,0,2,1,5,1,366,83000
100,9320,4,1959,Gable,950,Y,1225,0,1,1,3,1,6,0,0,128950
101,10603,6,1977,Gable,1610,Y,1610,0,2,0,3,1,6,2,480,205000
102,9206,6,1985,Gable,741,Y,977,755,2,1,3,1,7,2,476,178000
103,7018,5,1979,Gable,0,Y,1535,0,2,0,4,2,8,2,410,118964
104,10402,7,2009,Gable,1226,Y,1226,0,2,0,3,1,6,3,740,198900
105,7758,7,1931,Gable,1040,Y,1226,592,1,1,4,1,7,1,240,169500
106,9375,8,2003,Hip,1053,Y,1053,939,2,1,3,1,9,2,648,250000
107,10800,4,1885,Mansard,641,Y,1047,0,1,0,2,1,6,1,273,100000
108,6000,5,1948,Gable,789,Y,789,0,1,0,2,1,5,1,250,115000
109,8500,5,1919,Gable,793,N,997,520,2,0,3,1,7,0,0,115000
110,11751,6,1977,Hip,1844,Y,1844,0,2,0,3,1,7,2,546,190000
111,9525,6,1954,Gable,994,Y,1216,639,2,0,4,1,7,1,325,136900
112,7750,7,2000,Gable,384,Y,774,656,2,1,3,1,7,2,400,180000
113,9965,7,2007,Gable,1264,Y,1282,1414,2,1,4,1,10,3,792,383970
114,21000,6,1953,Hip,1809,Y,2259,0,2,0,3,1,7,2,450,217000
115,7259,6,1945,Gambrel,1028,Y,1436,884,2,1,3,1,9,1,180,259500
116,3230,6,1999,Gable,729,Y,729,729,2,1,2,1,5,2,440,176000
117,11616,5,1962,Gable,1092,Y,1092,0,1,0,3,1,6,1,288,139000
118,8536,5,2006,Gable,1125,Y,1125,0,1,1,2,1,5,2,430,155000
119,12376,7,1990,Hip,1673,Y,1699,1523,3,0,5,1,11,3,594,320000
120,8461,6,2005,Gable,728,Y,728,728,2,1,3,1,8,2,390,163990
121,21453,6,1969,Flat,938,Y,988,0,1,0,1,1,4,2,540,180000
122,6060,4,1939,Gable,732,Y,772,351,1,0,3,1,4,1,264,100000
123,9464,6,1958,Hip,1080,Y,1080,0,1,0,3,1,5,1,288,136000
124,7892,6,1993,Gable,1199,Y,1199,0,2,0,2,1,5,2,530,153900
125,17043,6,1979,Gable,1362,Y,1586,0,2,0,3,1,7,2,435,181000
126,6780,6,1935,Gable,520,N,520,0,1,0,2,1,5,0,0,84500
127,4928,6,1976,Gable,1078,Y,958,0,2,0,2,1,5,2,440,128000
128,4388,5,1930,Gable,672,Y,840,0,1,0,3,1,5,0,0,87000
129,7590,6,1966,Gable,660,Y,660,688,1,1,3,1,6,2,453,155000
130,8973,5,1958,Gable,1008,Y,1053,0,1,1,3,1,6,2,750,150000
131,14200,7,1966,Gable,924,Y,1216,941,2,1,4,1,8,2,487,226000
132,12224,6,2000,Gable,992,Y,1022,1032,2,1,3,1,7,2,390,244000
133,7388,5,1959,Gable,1063,Y,1327,0,1,0,3,1,7,2,624,150750
134,6853,8,2001,Gable,1267,Y,1296,0,2,0,2,1,6,2,471,220000
135,10335,5,1968,Gable,1461,Y,1721,0,2,1,3,1,7,2,440,180000
136,10400,7,1970,Hip,1304,Y,1682,0,2,0,3,1,7,2,530,174000
137,10355,5,1967,Gable,1214,Y,1214,0,2,0,3,1,5,1,318,143000
138,11070,7,1988,Gable,1907,Y,1959,0,3,0,5,2,9,3,766,171000
139,9066,8,1999,Gable,1004,Y,1004,848,2,1,3,1,7,3,660,230000
140,15426,6,1997,Gable,928,Y,928,836,2,1,3,1,7,2,470,231500
141,10500,4,1971,Gable,864,Y,864,0,1,0,3,1,5,0,0,115000
142,11645,7,2005,Gable,1734,Y,1734,0,2,0,3,1,7,2,660,260000
143,8520,5,1952,Gable,910,Y,910,475,2,0,4,1,6,2,720,166000
144,10335,7,1999,Gable,1490,Y,1501,0,2,0,3,1,6,2,577,204000
145,9100,5,1963,Gable,1728,Y,1728,0,2,0,6,2,10,2,504,125000
146,2522,6,2004,Gable,970,Y,970,739,2,0,3,1,7,2,380,130000
147,6120,5,1931,Gable,715,Y,875,0,1,0,2,1,5,1,180,105000
148,9505,7,2001,Gable,884,Y,884,1151,2,1,3,1,8,2,434,222500
149,7500,7,2004,Gable,1080,Y,1080,0,1,0,3,1,6,0,0,141000
150,6240,5,1936,Gable,896,Y,896,448,1,0,3,1,7,1,240,115000
151,10356,5,1975,Gable,969,Y,969,0,1,1,3,1,5,2,440,122000
152,13891,8,2007,Hip,1710,Y,1710,0,2,0,2,1,6,3,866,372402
153,14803,6,1971,Gable,825,Y,1097,896,2,1,4,1,8,2,495,190000
154,13500,6,1960,Flat,1602,Y,1252,0,1,0,1,1,4,2,564,235000
155,11340,6,1923,Gable,1200,Y,1200,0,1,0,4,1,7,1,312,125000
156,9600,6,1924,Gable,572,N,572,524,1,0,2,1,5,0,0,79000
157,7200,5,1950,Hip,0,Y,1040,0,1,0,2,1,5,2,625,109500
158,12003,8,2009,Gable,774,Y,774,1194,2,1,4,1,8,3,680,269500
159,12552,7,2004,Gable,991,Y,991,956,2,1,3,1,8,2,678,254900
160,19378,7,2005,Gable,1392,Y,1392,1070,2,1,4,1,9,2,576,320000
161,11120,6,1984,Gable,1232,Y,1232,0,2,0,3,1,6,2,516,162500
162,13688,9,2003,Gable,1572,Y,1572,1096,2,1,3,1,10,3,726,412500
163,12182,7,2005,Gable,1541,Y,1541,0,2,0,3,1,7,2,532,220000
164,5500,4,1956,Gable,882,Y,882,0,1,0,1,1,4,0,0,103200
165,5400,6,1926,Gable,1149,Y,1149,467,2,0,3,1,5,1,216,152000
166,10106,5,1940,Gable,644,Y,808,547,2,0,4,2,6,0,0,127500
167,10708,5,1955,Hip,1617,Y,1867,0,1,0,2,1,7,1,303,190000
168,10562,8,2007,Gable,1582,Y,1610,551,1,1,3,1,8,3,789,325624
169,8244,7,2004,Gable,840,Y,840,880,2,1,3,1,7,2,440,183500
170,16669,8,1981,Hip,1686,Y,1707,0,2,1,2,1,6,2,511,228000
171,12358,5,1941,Gable,720,Y,854,0,1,1,2,1,7,2,660,128500
172,31770,6,1960,Hip,1080,Y,1656,0,1,0,3,1,7,2,528,215000
173,5306,7,1987,Gable,1064,Y,1064,703,2,0,2,1,5,2,504,239000
174,10197,6,1961,Gable,1362,Y,1362,0,1,1,3,1,6,2,504,163000
175,12416,6,1986,Gable,1606,Y,1651,0,2,0,3,1,7,2,616,184000
176,12615,6,1950,Gable,1202,Y,2158,0,2,0,4,1,7,2,576,243000
177,10029,6,1988,Gable,1151,Y,1164,896,2,1,4,1,8,2,521,211000
178,13650,5,1958,Gable,1052,Y,1252,668,2,0,4,1,8,2,451,172500
179,17423,9,2008,Hip,2216,Y,2234,0,2,0,1,1,9,3,1166,501837
180,8520,5,1923,Gable,968,Y,968,0,1,0,2,1,5,2,480,100000
181,2117,6,2000,Gable,756,Y,769,756,2,1,3,1,5,2,440,177000
182,7588,7,1920,Gable,793,Y,901,901,1,1,4,1,9,1,216,200100
183,9060,5,1957,Hip,0,Y,1340,0,1,0,3,1,7,1,252,120000
184,11426,7,2003,Gable,1362,Y,1362,720,2,1,3,1,6,2,484,200000
185,7438,5,1908,Gable,504,Y,936,316,1,0,3,1,5,2,576,127000
186,22950,10,1892,Gable,1107,Y,1518,1518,2,1,4,1,12,3,840,475000
187,9947,7,1990,Gable,1188,Y,1217,0,2,0,3,1,6,2,497,173000
188,10410,5,1916,Gable,660,Y,808,704,2,1,3,1,8,1,180,135000
189,7018,5,1979,Gable,1086,Y,1224,0,0,2,2,2,6,2,528,153337
190,4923,8,2001,Gable,1593,Y,1593,0,1,1,0,1,5,2,682,286000
191,10570,8,1932,Hip,853,Y,1549,1178,2,1,3,1,10,2,440,315000
192,7472,7,1972,Gable,725,Y,725,754,1,1,4,1,7,2,484,184000
193,9017,7,1999,Gable,1431,Y,1431,0,2,0,3,1,6,2,666,192000
194,2522,7,2004,Gable,970,Y,970,739,2,0,3,1,7,2,380,130000
195,7180,5,1972,Hip,864,Y,864,0,1,0,3,1,5,1,352,127000
196,2280,6,1976,Gable,855,Y,855,601,2,1,3,1,7,2,440,148500
197,9416,7,2007,Hip,1726,Y,1726,0,2,0,3,1,8,3,786,311872
198,25419,8,1918,Gable,1360,Y,1360,1360,2,0,4,1,8,2,795,235000
199,5520,6,1912,Gable,755,Y,929,929,1,0,5,1,8,0,0,104000
200,9591,8,2004,Hip,1713,Y,1713,0,2,0,3,1,7,3,856,274900
201,8546,4,2003,Gable,1121,Y,1121,0,2,0,2,1,5,2,440,140000
202,10125,6,1977,Gable,1196,Y,1279,0,2,0,3,1,6,2,473,171500
203,7000,6,1924,Gable,617,Y,865,445,2,0,2,1,6,1,398,112000
204,4438,6,2004,Gable,848,Y,848,0,1,0,1,1,3,2,420,149000
205,3500,5,1947,Gable,720,Y,720,564,1,1,2,1,5,1,240,110000
206,11851,7,1990,Gable,1424,Y,1442,0,2,0,3,1,5,2,500,180500
207,13673,5,1962,Gable,1140,Y,1696,0,1,1,3,1,8,1,349,143900
208,12493,4,1960,Gable,1100,Y,1100,0,1,0,3,1,6,1,312,141000
209,14364,7,1988,Gable,1157,Y,1180,882,2,1,3,1,7,2,454,277000
210,8250,6,1964,Hip,1092,Y,1092,0,1,0,3,1,6,2,504,145000
211,5604,5,1925,Gable,864,N,864,0,1,0,2,1,5,0,0,98000
212,10420,6,2009,Gable,1212,Y,1212,0,2,0,3,1,6,2,460,186000
213,8640,7,2009,Gable,900,Y,932,920,2,1,3,1,7,2,644,252678
214,13568,5,1995,Gable,990,Y,990,0,1,0,3,1,5,2,576,156000
215,10900,6,1977,Gable,689,Y,689,703,1,1,3,1,6,1,299,161750
216,10011,5,1957,Gable,1070,Y,1236,0,1,0,2,1,6,1,447,134450
217,8450,7,2004,Gable,1436,Y,1436,0,2,0,3,1,8,2,484,210000
218,9906,4,1925,Gable,686,N,810,518,1,0,3,1,8,1,210,107000
219,15660,7,1939,Gable,798,Y,1137,817,1,1,3,1,8,2,431,311500
220,3010,7,2005,Gable,1248,Y,1248,0,2,0,2,1,5,2,438,167240
221,8990,7,2006,Gable,1498,Y,1498,0,2,0,2,1,5,2,675,204900
222,8068,6,2002,Gable,1010,Y,1010,1257,2,1,4,1,8,2,390,200000
223,11475,6,1975,Gable,713,Y,811,741,2,1,3,1,6,2,434,179900
224,10500,4,1971,Gable,864,Y,864,0,1,0,2,1,4,2,576,97000
225,13472,10,2003,Hip,2392,Y,2392,0,2,0,3,1,8,3,968,386250
226,1680,5,1971,Gable,630,Y,630,672,2,1,3,1,6,1,280,112000
227,9950,7,1995,Gable,1203,Y,1214,1306,2,1,4,1,9,3,721,290000
228,1869,6,1970,Gable,483,Y,483,504,1,1,2,1,5,1,280,106000
229,8521,5,1967,Gable,912,Y,912,0,1,0,3,1,5,1,336,125000
230,3182,7,2005,Gable,1373,Y,1555,0,2,0,2,1,7,2,430,192500
231,8760,6,1959,Hip,1194,Y,1194,0,1,0,3,1,6,1,312,148000
232,15138,8,1995,Gable,1462,Y,1490,1304,2,1,4,1,9,3,810,403000
233,1680,6,1972,Gable,483,Y,483,504,1,1,2,1,5,1,288,94500
234,10650,5,1976,Gable,894,Y,894,0,1,0,3,1,5,1,308,128200
235,7851,6,2002,Gable,860,Y,860,1100,2,1,4,1,8,2,440,216500
236,1680,6,1971,Gable,483,Y,483,504,1,1,2,1,5,1,264,89500
237,8773,7,2004,Gable,1414,Y,1414,0,2,0,3,1,6,2,494,185500
238,9453,7,1993,Gable,996,Y,1014,730,2,1,3,1,7,2,457,194500
239,12030,8,2007,Hip,1694,Y,1694,0,2,0,3,1,7,3,818,318000
240,8741,6,1945,Gable,735,Y,798,689,1,1,3,1,7,1,220,113000
241,9000,8,2008,Gable,1566,Y,1566,0,2,0,3,1,7,2,750,262500
242,3880,5,1945,Gable,686,Y,866,0,1,0,2,1,4,0,0,110500
243,5000,5,1900,Gable,540,N,889,551,1,0,3,1,6,1,352,79000
244,10762,6,1980,Gable,626,Y,626,591,1,1,3,1,6,1,288,120000
245,8880,7,1994,Gable,948,Y,1222,888,2,1,3,1,8,2,463,205000
246,10400,7,1988,Gable,1845,Y,1872,0,2,0,3,1,6,2,604,241500
247,9142,6,1910,Gable,1020,N,908,1020,2,0,4,2,9,1,440,137000
248,11310,6,1954,Hip,1367,Y,1375,0,1,0,2,1,5,2,451,140000
249,11317,7,2003,Gable,840,Y,840,828,2,1,3,1,8,2,500,180000
250,159000,6,1958,Gable,1444,Y,1444,700,2,0,4,1,7,2,389,277000
251,5350,3,1940,Gable,728,Y,1306,0,1,0,3,1,6,0,0,76500
252,4750,8,2006,Hip,1573,Y,1625,0,2,0,2,1,5,2,538,235000
253,8366,6,2004,Gable,798,Y,798,842,2,1,3,1,6,2,520,173000
254,9350,6,1964,Hip,1302,Y,1302,0,2,0,3,1,7,1,309,158000
255,8400,5,1957,Gable,1314,Y,1314,0,1,0,3,1,5,1,294,145000
256,8738,7,1999,Gable,975,Y,1005,1286,2,1,4,1,8,2,429,230000
257,8791,6,2003,Gable,864,Y,864,864,2,1,3,1,7,2,673,207500
258,8814,7,2006,Gable,1604,Y,1604,0,2,1,3,1,8,2,660,220000
259,12435,7,2001,Gable,963,Y,963,829,2,1,3,1,7,2,564,231500
260,12702,5,1956,Gable,0,Y,882,0,1,0,2,1,4,1,308,97000
261,19296,6,1962,Gable,1362,Y,1382,0,1,0,3,1,6,2,884,176000
262,9588,8,2007,Gable,1482,Y,1482,1092,2,1,3,1,10,3,868,276000
263,8471,6,1977,Gable,506,Y,1212,0,1,0,3,1,6,2,492,151000
264,5500,5,1929,Gable,926,Y,926,0,1,0,3,1,6,2,484,130000
265,5232,5,1925,Gable,680,N,764,0,1,0,2,1,4,2,504,73000
266,12090,6,1981,Gable,1422,Y,1422,0,2,0,3,1,7,2,576,175500
267,11207,6,1997,Gable,802,Y,802,709,2,1,3,1,8,2,413,185000
268,8400,5,1939,Gable,720,Y,1052,720,2,1,4,1,8,1,240,179500
269,6900,5,1940,Gable,740,Y,778,0,1,0,2,1,4,1,924,120500
270,7917,6,1976,Hip,1143,Y,1113,0,1,1,3,1,6,1,504,148000
271,10728,8,2006,Gable,1095,Y,1095,844,2,1,3,1,8,3,1053,266000
272,39104,7,1954,Flat,1385,Y,1363,0,1,0,2,1,5,2,439,241500
273,11764,8,1999,Gable,1152,Y,1164,1106,2,1,4,1,9,3,671,290000
274,9600,6,1958,Hip,1240,Y,1632,0,2,0,3,1,6,1,338,139000
275,8314,5,1982,Gable,816,Y,816,0,1,0,2,1,5,1,264,124500
276,7264,7,1925,Gable,952,N,952,596,2,1,3,1,5,2,672,205000
277,9196,7,2003,Gable,1560,Y,1560,0,2,0,3,1,7,2,573,201000
278,19138,4,1951,Gable,864,Y,864,0,1,0,2,1,4,2,400,141000
279,14450,9,2006,Gable,2121,Y,2121,0,2,1,3,1,8,3,732,415298
280,10005,7,1977,Hip,1160,Y,1156,866,2,1,4,1,8,2,505,192000
281,11287,7,1989,Gable,807,Y,1175,807,2,1,3,1,7,2,575,228500
282,7200,6,2006,Gable,1262,Y,1262,0,2,0,2,1,5,2,572,185000
283,5063,7,2007,Gable,1314,Y,1314,0,2,0,2,1,6,2,626,207500
284,9612,8,2008,Gable,1468,Y,1468,0,2,0,3,1,6,3,898,244600
285,8012,6,1992,Gable,1575,Y,1575,0,2,0,2,1,5,2,529,179200
286,4251,7,2006,Gable,625,Y,625,625,2,1,2,1,5,2,528,164700
287,9786,6,1962,Gable,912,Y,1085,649,1,1,3,1,7,2,440,159000
288,8125,4,1971,Gable,858,Y,858,0,1,0,3,1,5,0,0,88000
289,9819,5,1967,Gable,882,Y,900,0,1,0,3,1,5,1,280,122000
290,8730,6,1915,Gable,698,Y,698,698,1,0,3,1,7,1,384,153575
291,15611,8,2006,Gable,1079,Y,1079,840,2,1,3,1,8,2,685,233230
292,5687,5,1912,Gable,780,N,936,780,2,0,6,1,9,0,0,135900
