date,savings
1955-01-01,4.9
1955-04-01,5.2
1955-07-01,5.7
1955-10-01,5.7
1956-01-01,6.2
1956-04-01,6.7
1956-07-01,6.9
1956-10-01,7.1
1957-01-01,6.6
1957-04-01,7.0
1957-07-01,6.9
1957-10-01,6.4
1958-01-01,6.6
1958-04-01,6.4
1958-07-01,7.0
1958-10-01,7.3
1959-01-01,6.0
1959-04-01,6.3
1959-07-01,4.8
1959-10-01,5.3
1960-01-01,5.4
1960-04-01,4.7
1960-07-01,4.9
1960-10-01,4.4
1961-01-01,5.1
1961-04-01,5.3
1961-07-01,6.0
1961-10-01,5.9
1962-01-01,5.9
1962-04-01,5.6
1962-07-01,5.3
1962-10-01,4.5
1963-01-01,4.7
1963-04-01,4.6
1963-07-01,4.3
1963-10-01,5.0
1964-01-01,5.2
1964-04-01,6.2
1964-07-01,5.8
1964-10-01,6.7
1965-01-01,5.7
1965-04-01,6.1
1965-07-01,7.2
1965-10-01,6.5
1966-01-01,6.1
1966-04-01,6.3
1966-07-01,6.4
1966-10-01,7.0
1967-01-01,7.6
1967-04-01,7.2
1967-07-01,7.5
1967-10-01,7.0
1968-01-01,7.6
1968-04-01,7.2
1968-07-01,7.5
1968-10-01,7.8
1969-01-01,7.2
1969-04-01,7.5
1969-07-01,5.6
1969-10-01,5.7
1970-01-01,4.9
1970-04-01,5.1
1970-07-01,6.2
1970-10-01,6.0
1971-01-01,6.1
1971-04-01,7.5
1971-07-01,7.8
1971-10-01,8.0
1972-01-01,8.0
1972-04-01,8.1
1972-07-01,7.6
1972-10-01,7.1
1973-01-01,6.6
1973-04-01,5.6
1973-07-01,5.9
1973-10-01,6.6
1974-01-01,6.8
1974-04-01,7.8
1974-07-01,7.9
1974-10-01,8.7
1975-01-01,7.7
1975-04-01,7.3
1975-07-01,6.7
1975-10-01,7.5
1976-01-01,6.4
1976-04-01,9.7
1976-07-01,7.5
1976-10-01,7.1
1977-01-01,6.4
1977-04-01,6.0
1977-07-01,5.7
1977-10-01,5.0
1978-01-01,4.2
1978-04-01,5.1
1978-07-01,5.4
1978-10-01,5.1
1979-01-01,5.3
1979-04-01,5.0
1979-07-01,4.8
1979-10-01,4.7
1980-01-01,5.0
1980-04-01,5.4