date,water_consumers
1983-01-01,24963
1983-02-01,27380
1983-03-01,32588
1983-04-01,25511
1983-05-01,32313
1983-06-01,31858
1983-07-01,23929
1983-08-01,30452
1983-09-01,28688
1983-10-01,24936
1983-11-01,34078
1983-12-01,25601
1984-01-01,27238
1984-02-01,28126
1984-03-01,32845
1984-04-01,26001
1984-05-01,29377
1984-06-01,33275
1984-07-01,28720
1984-08-01,31159
1984-09-01,23885
1984-10-01,29233
1984-11-01,39031
1984-12-01,25918
1985-01-01,27885
1985-02-01,28695
1985-03-01,30102
1985-04-01,30110
1985-05-01,32692
1985-06-01,28224
1985-07-01,30919
1985-08-01,30229
1985-09-01,28395
1985-10-01,32274
1985-11-01,32992
1985-12-01,26956
1986-01-01,28996
1986-02-01,28154
1986-03-01,27478
1986-04-01,32720
1986-05-01,30466
1986-06-01,27618
1986-07-01,29949
1986-08-01,29821
1986-09-01,28098
1986-10-01,32021
1986-11-01,29145
1986-12-01,29428
1987-01-01,28863
1987-02-01,28687
1987-03-01,33043
1987-04-01,29092
1987-05-01,28731
1987-06-01,34249
1987-07-01,31617
1987-08-01,30542
1987-09-01,30420
1987-10-01,32422
1987-11-01,33084
1987-12-01,29167
1988-01-01,30164
1988-02-01,32655
1988-03-01,34654
1988-04-01,29570
1988-05-01,29096
1988-06-01,33523
1988-07-01,30801
1988-08-01,35274
1988-09-01,31433
1988-10-01,32584
1988-11-01,32625
1988-12-01,27569
1989-01-01,36909
1989-02-01,30822
1989-03-01,36301
1989-04-01,32327
1989-05-01,33149
1989-06-01,33027
1989-07-01,29178
1989-08-01,35109
1989-09-01,29988
1989-10-01,38742
1989-11-01,38934
1989-12-01,28986
1990-01-01,35780
1990-02-01,31676
1990-03-01,35069
1990-04-01,33238
1990-05-01,36737
1990-06-01,32407
1990-07-01,33399
1990-08-01,37719
1990-09-01,30027
1990-10-01,37644
1990-11-01,39654
1990-12-01,28707
1991-01-01,28942
1991-02-01,31080
1991-03-01,26923
1991-04-01,32836
1991-05-01,32000
1991-06-01,30802
1991-07-01,31344
1991-08-01,32409
1991-09-01,33971
1991-10-01,33584
1991-11-01,30248
1991-12-01,30469
1992-01-01,30505
1992-02-01,31112
1992-03-01,31784
1992-04-01,31682
1992-05-01,30539
1992-06-01,36502
1992-07-01,32139
1992-08-01,30369
1992-09-01,36918
1992-10-01,32316
1992-11-01,33333
1992-12-01,30016
1993-01-01,30559
1993-02-01,31478
1993-03-01,35299
1993-04-01,30442
1993-05-01,32145
1993-06-01,35360
1993-07-01,34610
1993-08-01,33873
1993-09-01,37132
1993-10-01,32695
1993-11-01,34048
1993-12-01,32256
1994-01-01,27517
1994-02-01,33454
1994-03-01,38539
1994-04-01,31775